"#";"Name";"Manufacturer";"Quantity"
"1";"OSTYK31103030";"On Shore Technology";"2"
"2";"AZ1117H-3.3TRE1";"";"1"
"3";"HAE102MBABF0KR";"Vishay";"4"
"4";"KM107M025D11RR0VH2FP0";"CX(Dongguan Chengxing Elec)";"3"
"5";"CAP100RP";"";"2"
"6";"LED";"";"4"
"7";"1N4007FFG";"ON Semiconductor";"4"
"8";"DIO_BREAKDOWN1";"ON SEMICONDUCTOR";"1"
"9";"HDR-1x5H";"";"1"
"10";"HLK-2M05";"HI-LINK";"1"
"11";"JQX-30F(T91)";"";"1"
"12";"PPTC201-401R/10D391";"201-401R/10D391";"1"
"13";"TRANS NPN";"";"1"
"14";"RES400";"";"11"
"15";"RES";"";"1"
"16";"D6C00 F1 LFS";"C&K";"2"
"17";"OSTYC022150";"On Shore Technology";"1"
"18";"Step Down Transformer";"";"1"
"19";"ATMEGA328P-PU";"Microchip";"1"
"20";"L7812CV";"HGC(Huaguan Semicon)";"1"
"21";"F8L10D";"FOUR-FAITH	";"1"
"22";"VARISTOR";"";"1"
"23";"ECS-10-13-1";"ECS International";"1"
"";"";"";"47"
