"#";"Name";"Quantity";"Value";"Name"
"1";"AZ1117H-3.3TRE1";"1";"";"AZ1117H_3.3V"
"2";"MT3608_Boost_Converter";"1";"5V";"B2"
"3";"HDR-1x2H";"2";"";"BATT_OUPUT, SOLAR_INPUT"
"4";"HAE102MBABF0KR";"2";"0.1uF";"C1, C2"
"5";"CAP100RP";"2";"10uF";"C3, C4"
"6";"HAE102MBABF0KR";"2";"22pF";"C5, C8"
"7";"LED";"1";"";"D1"
"8";"1N5817G";"1";"";"DIODE"
"9";"HDR-1x5H";"1";"";"FTDI"
"10";"RES400";"3";"10k";"R1, R7, R8"
"11";"RES400";"1";"";"R2"
"12";"RES400";"3";"2K";"R3, R5, R9"
"13";"RES400";"3";"1K";"R4, R6, R10"
"14";"OSTYK31104030";"1";"";"SENSORS_PROBES1"
"15";"1825232-1";"1";"";"SWITCH"
"16";"TP4056_module";"1";"";"T2"
"17";"ATMEGA328P-PU";"1";"";"U1"
"18";"F8L10D";"1";"F8L10D";"U8"
"19";"ECS-10-13-1";"1";"16mA";"Y1"
"";"";"29";"";""
